kH,c_fem
2.324374596576650465e-01,3.000000000000000000e+00
2.328571428571428736e-01,2.993945527486384428e+00
2.333098675018353552e-01,2.987394957983193322e+00
2.341902480843876255e-01,2.974789915966386644e+00
2.342857142857142638e-01,2.973430309587054676e+00
2.350731116255885267e-01,2.962184873949579966e+00
2.357142857142857373e-01,2.953134256728058293e+00
2.359654163969019947e-01,2.949579831932773288e+00
2.368628164906543820e-01,2.936974789915966610e+00
2.371428571428571552e-01,2.933072380347861774e+00
2.377657921851798473e-01,2.924369747899159933e+00
2.385714285714285732e-01,2.913242002238098927e+00
2.386781261215834837e-01,2.911764705882353255e+00
2.395936275485365807e-01,2.899159663865546577e+00
2.400000000000000189e-01,2.893618496654551286e+00
2.405168826752620559e-01,2.886554621848739455e+00
2.414285714285714368e-01,2.874232182030374894e+00
2.414494356441628797e-01,2.873949579831932777e+00
2.423841734100648515e-01,2.861344537815125655e+00
2.428571428571428548e-01,2.855033655813859816e+00
2.433279340686268777e-01,2.848739495798319421e+00
2.442808833610292663e-01,2.836134453781512743e+00
2.442857142857143005e-01,2.836070820339254173e+00
2.452361213487070923e-01,2.823529411764705621e+00
2.457142857142857184e-01,2.817285932772926493e+00
2.462006738956727392e-01,2.810924369747898943e+00
2.471428571428571641e-01,2.798729173093970513e+00
2.471744715579776985e-01,2.798319327731092265e+00
2.481513213103817561e-01,2.785714285714285587e+00
2.485714285714285821e-01,2.780346287371179947e+00
2.491370141147179196e-01,2.773109243697478909e+00
2.500000000000000000e-01,2.762177888565688022e+00
2.501319601479854438e-01,2.760504201680672232e+00
2.511318144566077049e-01,2.747899159663865554e+00
2.514285714285714457e-01,2.744188390849317649e+00
2.521390599891530915e-01,2.735294117647058876e+00
2.528571428571428914e-01,2.726392499547311665e+00
2.531555903380934280e-01,2.722689075630252198e+00
2.541798427642122382e-01,2.710084033613445520e+00
2.542857142857142816e-01,2.708788470020742523e+00
2.552091200362354151e-01,2.697478991596638842e+00
2.557142857142857273e-01,2.691350447541079660e+00
2.562477377052004845e-01,2.684873949579832164e+00
2.571428571428571730e-01,2.674107888437241343e+00
2.572956590481336736e-01,2.672268907563025486e+00
2.583497171204728882e-01,2.659663865546218808e+00
2.585714285714285632e-01,2.657031516389508852e+00
2.594109951079764942e-01,2.647058823529411686e+00
2.600000000000000089e-01,2.640125555782317335e+00
2.604816665459560032e-01,2.634453781512605008e+00
2.614285714285714546e-01,2.623402894557154585e+00
2.615617083734674830e-01,2.621848739495798331e+00
2.626481854101538338e-01,2.609243697478991209e+00
2.628571428571428448e-01,2.606836454314192419e+00
2.637422788244901950e-01,2.596638655462184975e+00
2.642857142857143460e-01,2.590431508891314127e+00
2.648458676434937153e-01,2.584033613445377853e+00
2.657142857142857362e-01,2.574198885458824471e+00
2.659589425499311877e-01,2.571428571428571175e+00
2.670806408768515716e-01,2.558823529411764053e+00
2.671428571428571264e-01,2.558128027897160539e+00
2.682085533476432082e-01,2.546218487394957819e+00
2.685714285714285721e-01,2.542196413461254245e+00
2.693461135519996663e-01,2.533613445378151141e+00
2.700000000000000178e-01,2.526427220779405403e+00
2.704933261285518142e-01,2.521008403361344463e+00
2.714285714285714635e-01,2.510816936507772823e+00
2.716501997493900311e-01,2.508403361344537785e+00
2.728161919516968736e-01,2.495798319327731107e+00
2.728571428571428537e-01,2.495357842376313418e+00
2.739889782754860725e-01,2.483193277310924429e+00
2.742857142857142438e-01,2.480028447083676646e+00
2.751716359465621320e-01,2.470588235294117752e+00
2.757142857142856895e-01,2.464849359116962457e+00
2.763641879759916042e-01,2.457983193277311074e+00
2.771428571428571352e-01,2.449817487192670562e+00
2.775666614412041211e-01,2.445378151260504396e+00
2.785714285714285809e-01,2.434929840880473595e+00
2.787790874832744570e-01,2.432773109243697718e+00
2.800000000000000266e-01,2.420183527392584910e+00
2.800015013065346725e-01,2.420168067226891040e+00
2.812313309870391742e-01,2.407563025210083918e+00
2.814285714285714168e-01,2.405555526196982985e+00
2.824713659802984833e-01,2.394957983193277240e+00
2.828571428571428070e-01,2.391064416482411303e+00
2.837216726883606266e-01,2.382352941176470562e+00
2.842857142857143082e-01,2.376707726386468433e+00
2.849823014607602012e-01,2.369747899159663884e+00
2.857142857142856984e-01,2.362482913945343377e+00
2.862533068299251138e-01,2.357142857142857206e+00
2.871428571428571441e-01,2.348387521150682389e+00
2.875347475261004204e-01,2.344537815126050528e+00
2.885714285714285898e-01,2.334419171396926451e+00
2.888266864951482549e-01,2.331932773109243850e+00
2.900000000000000355e-01,2.320575567080351842e+00
2.901291909215568676e-01,2.319327731092436728e+00
2.914285714285714257e-01,2.306854487239330176e+00
2.914423322502179281e-01,2.306722689075630051e+00
2.927650026216131462e-01,2.294117647058823373e+00
2.928571428571428714e-01,2.293244677425646305e+00
2.940984359666614090e-01,2.281512605042016695e+00
2.942857142857142616e-01,2.279752953340689725e+00
2.954428958124372118e-01,2.268907563025210017e+00
2.957142857142857073e-01,2.266378688381191608e+00
2.967984704086196190e-01,2.256302521008403339e+00
2.971428571428571530e-01,2.253119940759718443e+00
2.981652525001239895e-01,2.243697478991596661e+00
2.985714285714285987e-01,2.239974835470325942e+00
2.995433393676512068e-01,2.231092436974789983e+00
3.000000000000000444e-01,2.226941562447755540e+00
3.009328328684452436e-01,2.218487394957983305e+00
3.014285714285714346e-01,2.214018374787603882e+00
3.023338394844051757e-01,2.205882352941176627e+00
3.028571428571428803e-01,2.201203587072989798e+00
3.037464703684312206e-01,2.193277310924369949e+00
3.042857142857142705e-01,2.188495573729369426e+00
3.051708413961078947e-01,2.180672268907563272e+00
3.057142857142857162e-01,2.175892767464407740e+00
3.066070732202021976e-01,2.168067226890756594e+00
3.071428571428571619e-01,2.163393657777437085e+00
3.080552913264588133e-01,2.155462184873949472e+00
3.085714285714286076e-01,2.150996789509216356e+00
3.095156260931107850e-01,2.142857142857142794e+00
3.099999999999999423e-01,2.138700761465188727e+00
3.109882128535332302e-01,2.130252100840336116e+00
3.114285714285714435e-01,2.126504225095643186e+00
3.124731919605152064e-01,2.117647058823529438e+00
3.128571428571428337e-01,2.114405883219137916e+00
3.139707088554274939e-01,2.105042016806722760e+00
3.142857142857142794e-01,2.102404488822313233e+00
3.154809141372252879e-01,2.092436974789916082e+00
3.157142857142856696e-01,2.090498843878012991e+00
3.170039636364657687e-01,2.079831932773109404e+00
3.171428571428571708e-01,2.078687798239506002e+00
3.185400184917333566e-01,2.067226890756302282e+00
3.185714285714285610e-01,2.066970248577375990e+00
