kH,Analytical,L6_N40,L6_N50,L6_N60,L7_N40,L7_N50,L7_N60,L8_N40,L8_N50,L8_N60
0.366,1.784151,1.7325404127976844,1.7325361793771727,1.7325363634389341,1.732539676550639,1.7325361793771727,1.7325361793771727,1.7325361793771727,1.7325361793771727,1.7325361793771727
0.3917,1.653285,1.6459134013608883,1.645909352002138,1.6459095360638993,1.6459126651138427,1.645909352002138,1.645909352002138,1.645909352002138,1.645909352002138,1.645909352002138
0.4174,1.545226,1.5636177312928439,1.563613865995855,1.5636140500576163,1.5636169950457983,1.563613865995855,1.563613865995855,1.563613865995855,1.563613865995855,1.563613865995855
0.4431,1.45527,1.4854371300239317,1.4854891274715212,1.4854852621745323,1.485493636984675,1.4854762431482247,1.4854702611409798,1.4854552601074276,1.4854484498222567,1.4854330806651814
0.4688,1.379846,1.4111654483814084,1.4112803029205085,1.4112809471366734,1.411289321946816,1.4112025368263263,1.4111973830970077,1.4111823820634553,1.411180725507603,1.4111622273005844
0.4945,1.316202,1.3406072127746904,1.3407400133355247,1.3407993732535692,1.3407568549866908,1.340642552632875,1.3406388713976474,1.3406234102096917,1.340622121777362,1.3406038996629857
0.5202,1.262187,1.2735767969174274,1.2737685892727835,1.273845711150801,1.2737833142136938,1.2736104802197596,1.273606798984532,1.2735924421671445,1.2735907856112922,1.2735738519292454
0.546,1.2161,1.2098979616731,1.2101561082934331,1.210157856880166,1.2101786558592018,1.2099298963886993,1.2099264912461138,1.209913422861056,1.2099116742743228,1.2098954768393215
0.5717,1.176586,1.149403026777093,1.149731577021153,1.1496517862475955,1.1497494310120067,1.1494335810294816,1.1494306360412996,1.1494178437488838,1.1494163712547927,1.149400910066837
0.5974,1.142551,1.1264150012132856,1.126736925233936,1.1266587910162311,1.1267545031321478,1.1264449112495096,1.1264420582922083,1.1264295420924346,1.1264280695983435,1.12641288450303
0.6231,1.113109,1.1038867619294013,1.1042022437884034,1.10412567409567,1.1042194535630923,1.1039160277494604,1.1039132668230396,1.1039009346850273,1.103899554221817,1.1038846452191453
0.6488,1.087538,1.0818090138064897,1.0821182375656053,1.082043140366963,1.0821350792167714,1.081837727441265,1.0818350585457248,1.0818229104694739,1.0818216220371442,1.0818069891271147
0.6745,1.065242,1.0601728298491249,1.060475887539234,1.0604022628346828,1.0604923610668773,1.0602009912986157,1.0601984144339565,1.060186450419467,1.0601852540180179,1.0601708972006303
0.7002,1.045731,1.03896937509276,1.0392663587447437,1.0391942065342834,1.039282556179745,1.0389969843569666,1.0389944995231881,1.03898271957046,1.038981523169011,1.0389675344751461
