kH,Analytical,Best_PINN,Min_Error,Best_Architecture
0.366,1.784151,1.7325404127976844,0.051610587202315594,L6_N40
0.3917,1.653285,1.6459134013608883,0.007371598639111632,L6_N40
0.4174,1.545226,1.563613865995855,0.018387865995854957,L6_N50
0.4431,1.45527,1.4854330806651814,0.030163080665181363,L8_N60
0.4688,1.379846,1.4111622273005844,0.031316227300584476,L8_N60
0.4945,1.316202,1.3406038996629857,0.02440189966298556,L8_N60
0.5202,1.262187,1.2735738519292454,0.01138685192924549,L8_N60
0.546,1.2161,1.2101786558592018,0.005921344140798146,L7_N40
0.5717,1.176586,1.1497494310120067,0.026836568987993248,L7_N40
0.5974,1.142551,1.1267545031321478,0.01579649686785234,L7_N40
0.6231,1.113109,1.1042194535630923,0.008889546436907647,L7_N40
0.6488,1.087538,1.0821350792167714,0.00540292078322846,L7_N40
0.6745,1.065242,1.0604923610668773,0.004749638933122746,L7_N40
0.7002,1.045731,1.039282556179745,0.006448443820255001,L7_N40
