kH,PINN_c/cs,Analytical_c/cs,Abs_Error,Rel_Error
2.324340045452117920e-01,3.014959812164306641e+00,nan,nan,nan
2.444027066230773926e-01,2.864211797714233398e+00,2.854526614806399465e+00,9.685182907833933541e-03,3.392920863864779413e-03
2.563714087009429932e-01,2.721001148223876953e+00,2.675348683855995446e+00,4.565246436788150675e-02,1.706411752732071851e-02
2.683401107788085938e-01,2.584950923919677734e+00,2.517100100061278045e+00,6.785082385839968921e-02,2.695594976804771559e-02
2.803088426589965820e-01,2.455703496932983398e+00,2.376686424396778907e+00,7.901707253620449123e-02,3.324673870523732477e-02
2.922775745391845703e-01,2.332918167114257812e+00,2.251575255594880698e+00,8.134291151937711462e-02,3.612711203733929427e-02
3.042462766170501709e-01,2.216272115707397461e+00,2.139675228375406135e+00,7.659688733199132571e-02,3.579837085376229994e-02
3.162150084972381592e-01,2.105458498001098633e+00,2.039244511569965557e+00,6.621398643113307614e-02,3.246986129199215532e-02
3.281837105751037598e-01,2.000185489654541016e+00,1.948823196475179875e+00,5.136229317936114036e-02,2.635554280771066835e-02
3.401524424552917480e-01,1.900176286697387695e+00,1.867177552903975357e+00,3.299873379341233814e-02,1.767305618155607175e-02
3.521211445331573486e-01,1.805167555809020996e+00,1.793259897226400446e+00,1.190765858262055055e-02,6.640230231567599735e-03
3.640898466110229492e-01,1.714909076690673828e+00,1.726174062446404589e+00,1.126498575573076089e-02,6.525984835947286518e-03
3.760585784912109375e-01,1.629163622856140137e+00,1.665149823029138831e+00,3.598620017299869467e-02,2.161138876232458067e-02
3.880272507667541504e-01,1.547705411911010742e+00,1.609522372171849236e+00,6.181696026083849382e-02,3.840702144290435160e-02
3.999959826469421387e-01,1.514999985694885254e+00,1.558713778782137904e+00,4.371379308725265034e-02,2.804478518269552453e-02
