kH,Analytical,Rank1_Arch,Rank1_PINN,Rank1_RelErr,Rank2_Arch,Rank2_PINN,Rank2_RelErr,Rank3_Arch,Rank3_PINN,Rank3_RelErr
0.366,1.784151,L8_N40,1.7325468549593326,0.028923642136045355,L8_N60,1.732542069353537,0.02892632442347262,L7_N40,1.7325380199947866,0.02892859405129578
0.3917,1.653285,L8_N40,1.6459194753990138,0.004455084635127066,L8_N60,1.6459148738549794,0.004457867908449256,L7_N40,1.6459110085579904,0.0044602058580398745
0.4174,1.545226,L6_N40,1.563613865995855,0.011899790707543724,L6_N50,1.563613865995855,0.011899790707543724,L6_N60,1.563613865995855,0.011899790707543724
0.4431,1.45527,L8_N50,1.4854377742400966,0.02073001864952657,L7_N50,1.4854385104871421,0.02073052456736007,L8_N60,1.4854392467341877,0.020731030485193563
0.4688,1.379846,L8_N50,1.4111658165049312,0.02269805217751207,L7_N50,1.4111665527519768,0.02269858574940745,L6_N50,1.4111690375857555,0.022700386554554357
0.4945,1.316202,L7_N50,1.340608225114378,0.01854291751142906,L7_N40,1.3406108019790373,0.01854487531475956,L6_N50,1.3406112621334407,0.01854522492249718
0.5202,1.262187,L7_N50,1.2735791897203255,0.00902575428230961,L7_N40,1.273580478152655,0.009026775075844555,L6_N50,1.2735817665849847,0.00902779586937968
0.546,1.2161,L6_N40,1.2099684573277079,0.005041972430139052,L6_N60,1.209953364263275,0.005054383469060954,L7_N60,1.2099304485739835,0.005073227058643611
0.5717,1.176586,L8_N60,1.1500014115633332,0.0225946836327023,L6_N40,1.150000675316288,0.022595309381304895,L7_N40,1.1500003992236458,0.022595544037030936
0.5974,1.142551,L8_N60,1.1270014219850366,0.01360952641498146,L6_N40,1.127000685737991,0.013610170803761963,L7_N40,1.127000409645349,0.013610412449554651
0.6231,1.113109,L8_N60,1.1044614027484239,0.0077688683242845445,L6_N40,1.1044606665013783,0.007769529757302831,L7_N40,1.1044603904087362,0.007769777794684689
0.6488,1.087538,L8_N60,1.0823721507654265,0.0047500402142945045,L6_N40,1.0823715065492616,0.0047506325762762085,L7_N40,1.0823712304566195,0.004750886445696938
0.6745,1.065242,L8_N60,1.0607247390406174,0.0042405959954476555,L6_N40,1.0607240948244525,0.004241200755835303,L7_N40,1.0607238187318104,0.00424145993885858
0.7002,1.045731,L8_N60,1.0395102405785699,0.005948718572395844,L6_N40,1.039509596362405,0.005949334616258804,L7_N40,1.039509320269763,0.005949598635057216
